full-name;html-url;stars;forks;created-at;updated-at;pushed-at;default-branch;owner-name;owner-id;owner-type
Devashree161/rasa-chatbot-final;https://github.com/Devashree161/rasa-chatbot-final;0;0;2023-06-24T05:00:18Z;2023-06-24T05:00:19Z;2023-06-24T05:00:19Z;main;Devashree161;59756028;User
Samirhijazi/rasa-chatbot-v1;https://github.com/Samirhijazi/rasa-chatbot-v1;0;0;2023-06-14T04:22:30Z;2023-06-14T04:22:30Z;2023-06-14T04:22:30Z;main;Samirhijazi;73133915;User
ThejakaSEP/Rasa_Chatbot;https://github.com/ThejakaSEP/Rasa_Chatbot;0;0;2023-06-11T05:08:09Z;2023-06-11T05:08:10Z;2023-06-11T05:08:09Z;main;ThejakaSEP;8231599;User
mithiladilshan9977/Rasa-chatbot-using-python;https://github.com/mithiladilshan9977/Rasa-chatbot-using-python;0;0;2023-06-08T09:36:59Z;2023-06-08T09:36:59Z;2023-06-08T09:36:59Z;main;mithiladilshan9977;97790518;User
Malavika-a-menon/Rasa-Chatbot-with-Whatsapp-Integration;https://github.com/Malavika-a-menon/Rasa-Chatbot-with-Whatsapp-Integration;0;0;2023-06-02T09:22:10Z;2023-06-02T09:22:11Z;2023-06-02T09:22:11Z;main;Malavika-a-menon;114343403;User
laroshan/Rasa_new_ugc_chatbot;https://github.com/laroshan/Rasa_new_ugc_chatbot;0;0;2023-06-02T01:57:55Z;2023-06-02T01:57:55Z;2023-06-02T01:57:55Z;main;laroshan;56508419;User
Yesh-SFdev/Rasa-Chatbot;https://github.com/Yesh-SFdev/Rasa-Chatbot;0;0;2023-05-25T04:56:21Z;2023-05-25T04:56:21Z;2023-05-25T04:56:21Z;main;Yesh-SFdev;114341204;User
durga-SFev/Empathetic;https://github.com/durga-SFev/Empathetic;0;0;2023-05-24T12:06:15Z;2023-05-24T12:06:16Z;2023-05-24T12:06:16Z;main;durga-SFev;114341333;User
oriankeith002/chatbot_rasa;https://github.com/oriankeith002/chatbot_rasa;0;0;2023-05-20T15:18:24Z;2023-05-20T15:18:24Z;2023-05-20T15:18:24Z;main;oriankeith002;113267981;User
DnyaneshwarNamdevNagane/rasa_bot;https://github.com/DnyaneshwarNamdevNagane/rasa_bot;0;0;2023-05-03T02:26:16Z;2023-05-03T02:26:16Z;2023-05-03T02:26:16Z;main;DnyaneshwarNamdevNagane;96781223;User
Lassstro/Web-ban-hang-django-chatbot-rasa;https://github.com/Lassstro/Web-ban-hang-django-chatbot-rasa;0;0;2023-04-25T09:29:50Z;2023-04-25T09:29:51Z;2023-04-25T09:29:51Z;main;Lassstro;107174075;User
yanivgoren/rasa-dev-tutorial;https://github.com/yanivgoren/rasa-dev-tutorial;0;0;2023-04-08T11:40:03Z;2023-04-08T11:40:03Z;2023-04-08T11:40:04Z;main;yanivgoren;13835091;User
21hook/rasa-templates;https://github.com/21hook/rasa-templates;0;0;2023-03-27T14:39:15Z;2023-03-27T14:39:15Z;2023-03-27T14:39:16Z;main;21hook;12013072;User
